x-axis,1,,,,,,,,
second,Volt,,second,Volt,uA,,,,
-1.16E-03,4.37E-01,,0.00461,1.638191,1.63819E-06,1.64698E-11,,,
-1.15E-03,4.37E-01,,0.00462,1.6557789,1.65578E-06,1.64824E-11,,,
-1.14E-03,4.72E-01,,0.00463,1.6407035,1.6407E-06,1.63065E-11,,,
-1.13E-03,4.55E-01,,0.00464,1.620603,1.6206E-06,1.6206E-11,,,
-1.12E-03,4.55E-01,,0.00465,1.620603,1.6206E-06,1.62186E-11,,,
-1.11E-03,4.72E-01,,0.00466,1.6231156,1.62312E-06,1.62186E-11,,,
-1.10E-03,4.75E-01,,0.00467,1.620603,1.6206E-06,1.62186E-11,,,
-1.09E-03,4.55E-01,,0.00468,1.6231156,1.62312E-06,1.62312E-11,,,
-1.08E-03,4.57E-01,,0.00469,1.6231156,1.62312E-06,1.62186E-11,,,
-1.07E-03,4.57E-01,,0.0047,1.620603,1.6206E-06,1.61055E-11,,,
-1.06E-03,4.75E-01,,0.00471,1.6005025,1.6005E-06,1.61935E-11,,,
-1.05E-03,4.92E-01,,0.00472,1.638191,1.63819E-06,1.6294E-11,,,
-1.04E-03,4.92E-01,,0.00473,1.620603,1.6206E-06,1.6206E-11,,,
-1.03E-03,5.15E-01,,0.00474,1.620603,1.6206E-06,1.61935E-11,,,
-1.02E-03,4.97E-01,,0.00475,1.6180905,1.61809E-06,1.6093E-11,,,
-1.01E-03,5.13E-01,,0.00476,1.6005025,1.6005E-06,1.60176E-11,,,
-1.00E-03,5.15E-01,,0.00477,1.6030151,1.60302E-06,1.61935E-11,,,
-9.90E-04,5.18E-01,,0.00478,1.6356784,1.63568E-06,1.62814E-11,,,
-9.80E-04,5.13E-01,,0.00479,1.620603,1.6206E-06,1.61935E-11,,,
-9.70E-04,5.15E-01,,0.0048,1.6180905,1.61809E-06,1.61809E-11,,,
-9.60E-04,5.15E-01,,0.00481,1.6180905,1.61809E-06,1.6206E-11,,,
